roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930001,RAS101,21,43,7.67,64
1783930001,RAS102,24,37,7.67,61
1783930001,RAS103,24,69,7.67,93
1783930001,RME101,26,41,7.67,67
1783930001,RCS101,23,23,7.67,46
1783930001,RAS152,46,42,7.67,88
1783930001,RME151,46,43,7.67,89
1783930001,RCS151,42,40,7.67,82
1783930001,RCE151,44,41,7.67,85
1783930001,RAS203,29,63,7.79,92
1783930001,RAS201,24,48,7.79,72
1783930001,REE201,29,28,7.79,57
1783930001,RAS204,19,44,7.79,63
1783930001,REC201,24,33,7.79,57
1783930001,RAS251,48,45,7.79,93
1783930001,REE251,48,45,7.79,93
1783930001,RAS254,40,38,7.79,78
1783930001,RME252,46,40,7.79,86
1783930001,RAS301,26,60,7.25,86
1783930001,RVE301,16,27,7.25,43
1783930001,REE305,27,45,7.25,72
1783930001,REC301,22,40,7.25,62
1783930001,REC302,23,39,7.25,62
1783930001,REC303,27,32,7.25,59
1783930001,REC351,44,44,7.25,88
1783930001,REC352,40,36,7.25,76
1783930001,REC353,39,48,7.25,87
1783930001,REC354,41,44,7.25,85
1783930001,ROE047,22,41,7.21,63
1783930001,RAS402,20,43,7.21,63
1783930001,REC401,20,38,7.21,58
1783930001,REC402,24,50,7.21,74
1783930001,REC403,22,37,7.21,59
1783930001,RCS406,22,44,7.21,66
1783930001,REC451,40,35,7.21,75
1783930001,REC452,42,44,7.21,86
1783930001,REC453,42,46,7.21,88
1783930001,RCS456,44,41,7.21,85
1783930001,RAS501,25,43,7.71,68
1783930001,RAS502,23,36,7.71,59
1783930001,REC501A,26,38,7.71,64
1783930001,REC502,26,51,7.71,77
1783930001,REC503,26,49,7.71,75
1783930001,REC051,24,51,7.71,75
1783930001,REC551,46,38,7.71,84
1783930001,REC552,42,45,7.71,87
1783930001,REC553,47,46,7.71,93
1783930001,REC554,45,42,7.71,87
1783930001,RAS601,28,50,7.67,78
1783930001,RUC601,23,46,7.67,69
1783930001,RIC603,20,44,7.67,64
1783930001,REC601,25,48,7.67,73
1783930001,REC602,22,45,7.67,67
1783930001,REC064,19,43,7.67,62
1783930001,REC651,45,44,7.67,89
1783930001,REC652,43,43,7.67,86
1783930001,RIC653,42,43,7.67,85
1783930001,RIC651,48,44,7.67,92
1783930001,ROE072,22,41,7.54,63
1783930001,REC072,24,43,7.54,67
1783930001,REC075,24,38,7.54,62
1783930001,REC701,28,36,7.54,64
1783930001,REC702,24,48,7.54,72
1783930001,REC751,44,46,7.54,90
1783930001,REC752,36,46,7.54,82
1783930001,REC753,76,0,7.54,76
1783930001,REC754,155,0,7.54,155
1783930002,RAS101,19,35,6.75,54
1783930002,RAS102,19,21,6.75,40
1783930002,RAS103,20,51,6.75,71
1783930002,RME101,20,38,6.75,58
1783930002,RCS101,30,39,6.75,69
1783930002,RAS152,40,38,6.75,78
1783930002,RME151,40,43,6.75,83
1783930002,RCS151,50,46,6.75,96
1783930002,RCE151,45,39,6.75,84
1783930002,RAS203,12,33,6.79,45
1783930002,RAS201,15,50,6.79,65
1783930002,REE201,19,35,6.79,54
1783930002,RAS204,21,56,6.79,77
1783930002,REC201,16,38,6.79,54
1783930002,RAS251,42,42,6.79,84
1783930002,REE251,38,48,6.79,86
1783930002,RAS254,45,38,6.79,83
1783930002,RME252,37,42,6.79,79
1783930002,RAS301,17,48,6.92,65
1783930002,RVE301,21,41,6.92,62
1783930002,REE305,21,47,6.92,68
1783930002,REC301,23,45,6.92,68
1783930002,REC302,18,43,6.92,61
1783930002,REC303,17,32,6.92,49
1783930002,REC351,36,40,6.92,76
1783930002,REC352,36,34,6.92,70
1783930002,REC353,39,39,6.92,78
1783930002,REC354,39,35,6.92,74
1783930002,ROE047,24,46,7.21,70
1783930002,RAS402,22,41,7.21,63
1783930002,REC401,15,47,7.21,62
1783930002,REC402,11,46,7.21,57
1783930002,REC403,15,41,7.21,56
1783930002,RCS406,16,44,7.21,60
1783930002,REC451,44,40,7.21,84
1783930002,REC452,38,41,7.21,79
1783930002,REC453,40,44,7.21,84
1783930002,RCS456,44,48,7.21,92
1783930002,RAS501,25,48,7.13,73
1783930002,RAS502,25,55,7.13,80
1783930002,REC501A,17,39,7.13,56
1783930002,REC502,16,34,7.13,50
1783930002,REC503,11,38,7.13,49
1783930002,REC051,12,55,7.13,67
1783930002,REC551,41,38,7.13,79
1783930002,REC552,42,41,7.13,83
1783930002,REC553,43,40,7.13,83
1783930002,REC554,40,42,7.13,82
1783930002,RAS601,28,50,7.5,78
1783930002,RUC601,28,50,7.5,78
1783930002,RIC603,17,42,7.5,59
1783930002,REC601,19,43,7.5,62
1783930002,REC602,25,48,7.5,73
1783930002,REC064,18,43,7.5,61
1783930002,REC651,43,42,7.5,85
1783930002,REC652,42,42,7.5,84
1783930002,RIC653,40,41,7.5,81
1783930002,RIC651,30,38,7.5,68
1783930002,ROE072,25,44,7.79,69
1783930002,REC072,27,40,7.79,67
1783930002,REC075,25,51,7.79,76
1783930002,REC701,22,34,7.79,56
1783930002,REC702,25,53,7.79,78
1783930002,REC751,47,50,7.79,97
1783930002,REC752,41,50,7.79,91
1783930002,REC753,82,0,7.79,82
1783930002,REC754,175,0,7.79,175
1783930003,RAS101,18,49,7.63,67
1783930003,RAS102,27,31,7.63,58
1783930003,RAS103,23,48,7.63,71
1783930003,RME101,21,48,7.63,69
1783930003,RCS101,29,43,7.63,72
